report_id,data_riferimento,tavola,n_righe
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,1.1,22
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,1.2,22
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,2.1,22
1084101e-971e-435b-a26f-9b9d3f254786,2025-11-30,2.2,26
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,1.1,22
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,1.2,22
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,2.1,22
31f8384e-e7d5-4ba4-be33-1baa9460f1de,2025-10-31,2.2,26
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,1.1,22
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,1.2,22
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,2.1,22
58a33ad6-02cf-4c97-8e53-1c3e55adb90a,2025-08-31,2.2,26
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,1.1,22
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,1.2,22
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,2.1,22
5d6da0bd-80a0-4975-9889-804aa1247361,2025-06-30,2.2,26
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,1.1,22
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,1.2,22
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,2.1,22
63efe9d3-83f6-4d59-b38e-2338f16680b4,2025-03-31,2.2,26
67df9fe1-5aad-4110-90ac-40a350e0d700,2025-09-30,1.1,22
67df9fe1-5aad-4110-90ac-40a350e0d700,2025-09-30,1.2,22
67df9fe1-5aad-4110-90ac-40a350e0d700,2025-09-30,2.1,22
67df9fe1-5aad-4110-90ac-40a350e0d700,2025-09-30,2.2,26
75478f11-a78b-492b-9559-48016690a0d4,2025-05-31,1.1,22
75478f11-a78b-492b-9559-48016690a0d4,2025-05-31,1.2,22
75478f11-a78b-492b-9559-48016690a0d4,2025-05-31,2.1,22
75478f11-a78b-492b-9559-48016690a0d4,2025-05-31,2.2,26
7ee0bbb9-00a0-46ea-81bd-7b17a179590d,2025-01-31,1.1,22
7ee0bbb9-00a0-46ea-81bd-7b17a179590d,2025-01-31,1.2,22
7ee0bbb9-00a0-46ea-81bd-7b17a179590d,2025-01-31,2.1,22
7ee0bbb9-00a0-46ea-81bd-7b17a179590d,2025-01-31,2.2,26
a6f6264e-d6c1-4936-b974-c4060b337047,2025-02-28,1.1,22
a6f6264e-d6c1-4936-b974-c4060b337047,2025-02-28,1.2,22
a6f6264e-d6c1-4936-b974-c4060b337047,2025-02-28,2.1,22
a6f6264e-d6c1-4936-b974-c4060b337047,2025-02-28,2.2,26
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.1,22
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,1.2,22
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,2.1,22
cc0c4fd8-2feb-4f90-8c6d-339383a25091,2024-06-30,2.2,26
d6dfd94a-ff5e-466f-8c06-2787334333c0,2025-12-31,1.1,22
d6dfd94a-ff5e-466f-8c06-2787334333c0,2025-12-31,1.2,22
d6dfd94a-ff5e-466f-8c06-2787334333c0,2025-12-31,2.1,22
d6dfd94a-ff5e-466f-8c06-2787334333c0,2025-12-31,2.2,26
f575e60b-9323-409f-8d8d-5b931448bd29,2025-04-30,1.1,22
f575e60b-9323-409f-8d8d-5b931448bd29,2025-04-30,1.2,22
f575e60b-9323-409f-8d8d-5b931448bd29,2025-04-30,2.1,22
f575e60b-9323-409f-8d8d-5b931448bd29,2025-04-30,2.2,26
