c1,c2,Genere,c4,c5,c6,c7,c8,c9,Cittadinanza,c11,Anzianità disoccupazione
Regione,,,,,,,,,,,
,Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,>=6mesi >=12mesi
Abruzzo,"41,1","58,9","100,0","24,6","58,4","17,0","100,0","89,0","11,0","100,0","38,1 33,0"
Basilicata,"46,1","53,9","100,0","27,4","55,4","17,2","100,0","94,3","5,7","100,0","51,0 45,5"
P.A. Bolzano,"47,8","52,2","100,0","28,8","51,7","19,5","100,0","61,3","38,7","100,0","23,1 13,5"
Calabria,"48,8","51,2","100,0","25,4","58,5","16,1","100,0","94,0","6,0","100,0","54,1 48,5"
Campania,"45,5","54,5","100,0","29,5","55,0","15,5","100,0","95,3","4,7","100,0","49,4 45,0"
Emilia-Romagna,"41,0","59,0","100,0","24,2","55,1","20,7","100,0","68,8","31,2","100,0","25,9 20,6"
Friuli-Venezia Giulia,"40,8","59,2","100,0","31,5","49,7","18,8","100,0","77,6","22,4","100,0","23,6 20,6"
Lazio,"44,0","56,0","100,0","28,2","55,1","16,7","100,0","84,7","15,3","100,0","34,1 24,7"
Liguria,"39,9","60,1","100,0","18,2","58,4","23,4","100,0","78,4","21,6","100,0","29,4 20,7"
Lombardia,"42,1","57,9","100,0","25,3","54,2","20,5","100,0","76,6","23,4","100,0","25,3 19,2"
Marche,"40,7","59,3","100,0","29,6","51,2","19,2","100,0","79,7","20,3","100,0","29,6 22,2"
Molise,"46,0","54,0","100,0","26,5","56,4","17,1","100,0","90,5","9,5","100,0","56,3 48,1"
Piemonte,"44,4","55,6","100,0","30,3","53,0","16,7","100,0","74,8","25,2","100,0","28,0 23,5"
Puglia,"46,9","53,1","100,0","33,0","53,0","14,0","100,0","95,2","4,8","100,0","45,2 39,7"
Sardegna,"49,0","51,0","100,0","30,4","53,3","16,3","100,0","95,3","4,7","100,0","49,4 44,1"
Sicilia,"49,1","50,9","100,0","29,8","56,3","13,9","100,0","95,1","4,9","100,0","47,9 44,3"
Toscana,"42,3","57,7","100,0","28,5","53,2","18,3","100,0","75,8","24,2","100,0","30,0 25,1"
P.A. Trento,"41,7","58,3","100,0","27,3","54,9","17,8","100,0","67,4","32,6","100,0","28,8 21,4"
Umbria,"41,4","58,6","100,0","28,9","53,1","18,0","100,0","74,1","25,9","100,0","24,2 19,6"
Valle d'Aosta,"41,0","59,0","100,0","24,8","54,7","20,5","100,0","78,1","21,9","100,0","32,8 21,3"
Veneto,"41,4","58,6","100,0","31,8","48,8","19,4","100,0","75,6","24,4","100,0","20,6 16,8"
Totale,"44,5","55,5","100,0","28,7","54,1","17,2","100,0","84,7","15,3","100,0","36,7 31,4"
