Individui raggiunti,3.286.912,1.642.921,814.891,699.294,125.855,3.951,c8,c9,"50,0",c11,c12,"24,8",c14,c15,"21,3","3,8"
,,,valori % colonna,,,,,,,,,,,,,
Genere,,,,,,,,,,,,,,,,
Maschi,"44,5","45,6","45,3","41,1","44,5","58,2",,,"51,2",,,"25,2",,,"19,6","3,8"
Femmine,"55,5","54,4","54,7","58,9","55,5","41,8",,,"49,0",,,"24,5",,,"22,6","3,8"
Totale,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,,,,,
Classe di età,,,,,,,,,,,,,,,,
15-29,"29,2","29,0","29,9","31,6","14,6","2,5",,,"49,7",,,"25,4",,,"23,0","1,9"
30-54,"54,1","54,9","51,9","52,7","64,7","69,9",,,"50,7",,,"23,8",,,"20,7","4,6"
55+,"16,7","16,1","18,2","15,7","20,6","27,6",,,"48,0",,,"27,0",,,"20,0","4,7"
Totale,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,,,,,
Titolo di studio,,,,,,,,,,,,,,,,
,,,,,,,,"37,8",,,"27,3",,,"28,7",,"6,1"
Fino alla licenza media,"46,7","35,3","51,6","63,1","74,4","22,9",,,,,,,,,,
,,,,,,,,,"56,0",,,,"24,4",,"16,5","3,0"
Qualifica prof.le,"6,5","7,3","6,4","5,0","5,1","7,6",,,,,,,,,,
,,,,,,,,,"57,8",,,,"22,8",,"17,4","1,8"
DipL. Istruzione secondaria superiore,"35,9","41,5","32,9","29,3","17,3","55,0",,,,,,,,,,
Laurea triennale,"5,7","8,1","5,0","1,3","1,6","6,0",,,,"71,9",,,,"21,9",,"5,0"
Laurea specialistica/magistrale,"5,2","7,8","4,1","1,2","1,6","8,5",,,,"74,2",,,,,"19,6","4,8"
Totale,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,,,,,
Cittadinanza,,,,,,,,,,,,,,,,
Italiana,"84,7","86,4","80,8","87,0","74,3","98,1",,,"51,0",,,"23,6",,,"21,9","3,4"
Straniera,"15,3","13,6","19,2","13,0","25,7","1,9",,"44,4",,,,"31,1",,,"18,0","6,4"
Totale,"100,0","100,0","100,0","100,0","100,0","100,0",,,,,,,,,,
Durata disoccupazione,,,,,,,,,,,,,,,,
,,,,,,,,,"60,1",,,,"24,5",,"13,0","2,2"
Meno di 12 mesi,"69,3","83,4","68,5","42,4","40,7","90,4",,,,,,,,,,
Da 12 mesi e oltre (LTU),"30,7","16,6","31,5","57,6","59,3","9,6","27,1",,,"25,5",,,"40,0",,,"7,4"
