c1,SFL,c3,c4,c5
,,ADI,NASpI-DisColl,
,Domanda,,,Altri
Totale,,Attivabili al,Domanda,
,accolta e,,,disoccupati
,,lavoro,presentata,
attiva,,,,
Presi in carico con patto di servizio attivo  2.880.351,111.639,147.714,1.326.047,1.294.951
Genere,,,,
"Maschi 44,3","41,9","38,1","46,4","43,0"
"Femmine 55,7","58,1","61,9","53,6","57,0"
Classi di età,,,,
"15-29 29,0","20,4","9,3","25,5","35,5"
"30-54 54,0","59,7","86,3","56,0","47,9"
"55+ 17,0","20,0","4,4","18,5","16,6"
Titolo di studio,,,,
"Fino alla licenza media 47,3","65,3","75,0","44,3","45,8"
"Qualifica professionale 6,3","4,4","4,4","7,0","6,0"
"Diploma. Istruzione secondaria superiore 35,9","26,5","18,7","36,9","37,6"
"Laurea triennale 5,4","1,6","0,8","5,9","5,6"
"Laurea specialistica/magistrale 5,1","2,2","1,1","5,9","5,0"
Percorso GOL,,,,
"1 Reinserimento lavorativo 48,0","7,4","7,0","71,9","31,7"
"2 Aggiornamento 24,8","20,9","15,7","22,8","28,3"
"3 Riqualificazione 23,1","65,2","63,6","4,1","34,3"
"4 Lavoro e inclusione 4,0","6,6","13,7","1,2","5,6"
"5 Ricollocazione collettiva 0,1","0,0","0,0","0,0","0,3"
"Totale 100,0","100,0","100,0","100,0","100,0"
