c1,c2,c3,c4,c5,c6,c7,Individui con LEP dopo la presa in carico,c9,c10,c11,c12,c13,c14
,,Individui con,,,,,,,,,,,
,,,,,,,Dettaglio formazione,,,,,,% individui
,,almeno una,% individui,,,,,,,,,Individui con,
,Individui,,,,,,C07 -  C11 -,,,,Individui,,con almeno
,,politica,con almeno,,,,,,LEP J -,LEP O -,,almeno una,
,raggiunti,,,LEP E,LEP F1,LEP F2,Formazione Formazione C12 -,,,,con,,una politica
Regione,,"(LEP E, F1, F2,",una politica,,,,,LEP H -,Conciliazi,Supporto,,politica (SAP),
,,,,Orient.,Accomp. al,Attivazione,non non Formazione,,,,Tirocinio da,,o un
,,"H, J, O)",,,,,,Avviamento,one vita,autoimpi,,o un tirocinio,
,(A),,,specialistico,lavoro,tirocinio,generalista generalista specifica su,,,,CO,,tirocinio
,,,(B/A%),,,,,a,e lavoro,ego,,CO(C),
,,,,,,,incl. non incl. competenz,,,,,,(C/A%)
,,(B),,,,,,formazione,,,,,
,,,,,,,competenze competenze e digitali,,,,,,
,,,,,,,digitali digitali,,,,,,
Abruzzo,60.700,50.487,"83,2",39.294,27.687,9,1.431 466 532,2.397,0,1,3.460,51.196,"84,3"
Basilicata,38.106,10.813,"28,4",6.924,2.189,0,2.181 1.154 1.956,5.274,0,63,1.499,12.413,"32,6"
P.A. Bolzano,13.855,13.669,"98,7",1.309,13.649,13,14 654 276,807,0,20,259,13.677,"98,7"
Calabria,144.448,89.966,"62,3",88.598,41.737,2.598,4.506 3.834 2.019,10.094,0,3.150,5.350,93.578,"64,8"
Campania,457.972,297.742,"65,0",284.506,84.135,7.503,107.187 194 11.341,118.571,505,1.687,22.633,306.442,"66,9"
Emilia-Romagna,229.902,194.772,"84,7",183.257,147.676,7.280,32.180 6.116 44.244,79.799,1,1.654,13.226,196.915,"85,7"
Friuli-Venezia Giulia,94.093,88.659,"94,2",67.698,79.719,2.003,5.828 10.114 8.401,22.172,64,46,4.703,89.038,"94,6"
Lazio,225.516,110.363,"48,9",110.284,23.364,19,6.016 10.704 3.801,20.160,0,449,13.762,120.503,"53,4"
Liguria,56.990,42.707,"74,9",36.518,21.990,1.359,9 8.320 7.489,14.162,0,37,3.070,43.232,"75,9"
Lombardia,392.313,220.477,"56,2",198.486,167.039,8.777,6.077 44.852 20.878,62.756,6,1.865,25.022,233.589,"59,5"
Marche,92.793,76.356,"82,3",39.140,68.793,1.455,1.324 2.606 2.643,6.322,0,849,8.532,78.038,"84,1"
Molise,10.255,1.871,"18,2",768,17,3,927 130 194,1.242,1,0,682,2.520,"24,6"
Piemonte,210.599,141.733,"67,3",134.375,70.822,16.603,34.332 4.086 7.366,42.919,0,38,20.040,144.432,"68,6"
Puglia,307.146,124.634,"40,6",62.035,83.931,410,14.102 9.360 2.822,25.943,4,2.835,16.669,137.569,"44,8"
Sardegna,146.388,112.551,"76,9",111.800,44.947,1.236,14 5.753 3.137,8.756,1,8,8.390,114.971,"78,5"
Sicilia,437.231,109.515,"25,0",104.819,8.905,56,12.030 3.111 2.134,16.942,1,169,18.816,127.907,"29,3"
Toscana,228.505,205.672,"90,0",187.493,150.157,7.782,20.602 23.648 8.807,47.197,3.369,2.828,11.960,206.471,"90,4"
P.A. Trento,22.709,21.579,"95,0",8.955,19.171,170,596 1.980 1.526,4.078,287,7,447,21.599,"95,1"
Umbria,52.509,36.307,"69,1",35.941,18.384,338,290 4.214 2.907,6.473,0,4,4.128,38.236,"72,8"
Valle d'Aosta,5.422,4.497,"82,9",3.201,3.049,186,144 316 206,821,18,3,390,4.565,"84,2"
Veneto,261.195,260.772,"99,8",260.595,251.252,11.139,7.076 36.980 16.345,52.974,1.621,199,26.821,260.855,"99,9"
Totale,3.488.647,2.215.142,"63,5",1.965.996,1.328.613,68.939,256.866 178.592 149.024,549.859,5.878,15.912,209.859,2.297.746,"65,9"
